"Notes"	"County"	"County Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"#Salmonella infections (A01-A02)"	"GR113-001"	Suppressed	59095	Suppressed
	"Autauga County, AL"	"01001"	"#Shigellosis and amebiasis (A03,A06)"	"GR113-002"	Suppressed	59095	Suppressed
	"Autauga County, AL"	"01001"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	Suppressed	59095	Suppressed
	"Autauga County, AL"	"01001"	"#Tuberculosis (A16-A19)"	"GR113-004"	Suppressed	59095	Suppressed
	"Autauga County, AL"	"01001"	"Respiratory tuberculosis (A16)"	"GR113-005"	Suppressed	59095	Suppressed
	"Autauga County, AL"	"01001"	"Other tuberculosis (A17-A19)"	"GR113-006"	Suppressed	59095	Suppressed
	"Autauga County, AL"	"01001"	"#Whooping cough (A37)"	"GR113-007"	Suppressed	59095	Suppressed
	"Autauga County, AL"	"01001"	"#Scarlet fever and erysipelas (A38,A46)"	"GR113-008"	Suppressed	59095	Suppressed
	"Autauga County, AL"	"01001"	"#Meningococcal infection (A39)"	"GR113-009"	Suppressed	59095	Suppressed
	"Autauga County, AL"	"01001"	"#Septicemia (A40-A41)"	"GR113-010"	19	59095	Unreliable
	"Autauga County, AL"	"01001"	"#Syphilis (A50-A53)"	"GR113-011"	Suppressed	59095	Suppressed
	"Autauga County, AL"	"01001"	"#Acute poliomyelitis (A80)"	"GR113-012"	Suppressed	59095	Suppressed
	"Autauga County, AL"	"01001"	"#Arthropod-borne viral encephalitis (A83-A84,A85.2)"	"GR113-013"	Suppressed	59095	Suppressed
	"Autauga County, AL"	"01001"	"#Measles (B05)"	"GR113-014"	Suppressed	59095	Suppressed
	"Autauga County, AL"	"01001"	"#Viral hepatitis (B15-B19)"	"GR113-015"	Suppressed	59095	Suppressed
	"Autauga County, AL"	"01001"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	Suppressed	59095	Suppressed
	"Autauga County, AL"	"01001"	"#Malaria (B50-B54)"	"GR113-017"	Suppressed	59095	Suppressed
	"Autauga County, AL"	"01001"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	107	59095	181.1
	"Autauga County, AL"	"01001"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	124	59095	209.8
	"Autauga County, AL"	"01001"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	Suppressed	59095	Suppressed
	"Autauga County, AL"	"01001"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	Suppressed	59095	Suppressed
	"Autauga County, AL"	"01001"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	Suppressed	59095	Suppressed
	"Autauga County, AL"	"01001"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	12	59095	Unreliable
	"Autauga County, AL"	"01001"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	Suppressed	59095	Suppressed
	"Autauga County, AL"	"01001"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	Suppressed	59095	Suppressed
	"Autauga County, AL"	"01001"	"Malignant neoplasm of larynx (C32)"	"GR113-026"	Suppressed	59095	Suppressed
	"Autauga County, AL"	"01001"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	33	59095	55.8
	"Autauga County, AL"	"01001"	"Malignant melanoma of skin (C43)"	"GR113-028"	Suppressed	59095	Suppressed
	"Autauga County, AL"	"01001"	"Malignant neoplasm of breast (C50)"	"GR113-029"	11	59095	Unreliable
	"Autauga County, AL"	"01001"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	Suppressed	59095	Suppressed
	"Autauga County, AL"	"01001"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	Suppressed	59095	Suppressed
	"Autauga County, AL"	"01001"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	Suppressed	59095	Suppressed
	"Autauga County, AL"	"01001"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	Suppressed	59095	Suppressed
	"Autauga County, AL"	"01001"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	Suppressed	59095	Suppressed
