"Notes"	"County"	"County Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Adams County, CO"	"08001"	"#Salmonella infections (A01-A02)"	"GR113-001"	Suppressed	522140	Suppressed
	"Adams County, CO"	"08001"	"#Shigellosis and amebiasis (A03,A06)"	"GR113-002"	Suppressed	522140	Suppressed
	"Adams County, CO"	"08001"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	Suppressed	522140	Suppressed
	"Adams County, CO"	"08001"	"#Tuberculosis (A16-A19)"	"GR113-004"	Suppressed	522140	Suppressed
	"Adams County, CO"	"08001"	"Respiratory tuberculosis (A16)"	"GR113-005"	Suppressed	522140	Suppressed
	"Adams County, CO"	"08001"	"Other tuberculosis (A17-A19)"	"GR113-006"	Suppressed	522140	Suppressed
	"Adams County, CO"	"08001"	"#Whooping cough (A37)"	"GR113-007"	Suppressed	522140	Suppressed
	"Adams County, CO"	"08001"	"#Scarlet fever and erysipelas (A38,A46)"	"GR113-008"	Suppressed	522140	Suppressed
	"Adams County, CO"	"08001"	"#Meningococcal infection (A39)"	"GR113-009"	Suppressed	522140	Suppressed
	"Adams County, CO"	"08001"	"#Septicemia (A40-A41)"	"GR113-010"	46	522140	8.8
	"Adams County, CO"	"08001"	"#Syphilis (A50-A53)"	"GR113-011"	Suppressed	522140	Suppressed
	"Adams County, CO"	"08001"	"#Acute poliomyelitis (A80)"	"GR113-012"	Suppressed	522140	Suppressed
	"Adams County, CO"	"08001"	"#Arthropod-borne viral encephalitis (A83-A84,A85.2)"	"GR113-013"	Suppressed	522140	Suppressed
	"Adams County, CO"	"08001"	"#Measles (B05)"	"GR113-014"	Suppressed	522140	Suppressed
	"Adams County, CO"	"08001"	"#Viral hepatitis (B15-B19)"	"GR113-015"	Suppressed	522140	Suppressed
	"Adams County, CO"	"08001"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	Suppressed	522140	Suppressed
	"Adams County, CO"	"08001"	"#Malaria (B50-B54)"	"GR113-017"	Suppressed	522140	Suppressed
	"Adams County, CO"	"08001"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	478	522140	91.5
	"Adams County, CO"	"08001"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	613	522140	117.4
	"Adams County, CO"	"08001"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	12	522140	Unreliable
	"Adams County, CO"	"08001"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	13	522140	Unreliable
	"Adams County, CO"	"08001"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	11	522140	Unreliable
	"Adams County, CO"	"08001"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	61	522140	11.7
	"Adams County, CO"	"08001"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	28	522140	5.4
	"Adams County, CO"	"08001"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	55	522140	10.5
