"Notes"	"County"	"County Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Adams County, NE"	"31001"	"#Salmonella infections (A01-A02)"	"GR113-001"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"#Shigellosis and amebiasis (A03,A06)"	"GR113-002"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"#Tuberculosis (A16-A19)"	"GR113-004"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"Respiratory tuberculosis (A16)"	"GR113-005"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"Other tuberculosis (A17-A19)"	"GR113-006"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"#Whooping cough (A37)"	"GR113-007"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"#Scarlet fever and erysipelas (A38,A46)"	"GR113-008"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"#Meningococcal infection (A39)"	"GR113-009"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"#Septicemia (A40-A41)"	"GR113-010"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"#Syphilis (A50-A53)"	"GR113-011"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"#Acute poliomyelitis (A80)"	"GR113-012"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"#Arthropod-borne viral encephalitis (A83-A84,A85.2)"	"GR113-013"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"#Measles (B05)"	"GR113-014"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"#Viral hepatitis (B15-B19)"	"GR113-015"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"#Malaria (B50-B54)"	"GR113-017"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	34	31027	109.6
	"Adams County, NE"	"31001"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	63	31027	203.0
	"Adams County, NE"	"31001"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"Malignant neoplasm of larynx (C32)"	"GR113-026"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	15	31027	Unreliable
	"Adams County, NE"	"31001"	"Malignant melanoma of skin (C43)"	"GR113-028"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"Malignant neoplasm of breast (C50)"	"GR113-029"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"Hodgkin disease (C81)"	"GR113-038"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"Leukemia (C91-C95)"	"GR113-040"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue (C96)"	"GR113-042"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	10	31027	Unreliable
	"Adams County, NE"	"31001"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"#Anemias (D50-D64)"	"GR113-045"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"Malnutrition (E40-E46)"	"GR113-048"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"Other nutritional deficiencies (E50-E64)"	"GR113-049"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"#Meningitis (G00,G03)"	"GR113-050"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"#Parkinson disease (G20-G21)"	"GR113-051"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"#Alzheimer disease (G30)"	"GR113-052"	21	31027	67.7
	"Adams County, NE"	"31001"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	100	31027	322.3
	"Adams County, NE"	"31001"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	88	31027	283.6
	"Adams County, NE"	"31001"	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"Hypertensive heart disease (I11)"	"GR113-056"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"Hypertensive heart and renal disease (I13)"	"GR113-057"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	52	31027	167.6
	"Adams County, NE"	"31001"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	25	31027	80.6
	"Adams County, NE"	"31001"	"Other acute ischemic heart diseases (I24)"	"GR113-060"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	26	31027	83.8
	"Adams County, NE"	"31001"	"Atherosclerotic cardiovascular disease, so described (I25.0)"	"GR113-062"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)"	"GR113-063"	22	31027	70.9
	"Adams County, NE"	"31001"	"Other heart diseases (I26-I51)"	"GR113-064"	32	31027	103.1
	"Adams County, NE"	"31001"	"Acute and subacute endocarditis (I33)"	"GR113-065"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"Diseases of pericardium and acute myocarditis (I30-I31,I40)"	"GR113-066"	Suppressed	31027	Suppressed
	"Adams County, NE"	"31001"	"Heart failure (I50)"	"GR113-067"	10	31027	Unreliable
	"Adams County, NE"	"31001"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	22	31027	70.9
	"Adams County, NE"	"31001"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	Suppressed	31027	Suppressed
