"Notes"	"County"	"County Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Bernalillo County, NM"	"35001"	"#Salmonella infections (A01-A02)"	"GR113-001"	Suppressed	674393	Suppressed
	"Bernalillo County, NM"	"35001"	"#Shigellosis and amebiasis (A03,A06)"	"GR113-002"	Suppressed	674393	Suppressed
	"Bernalillo County, NM"	"35001"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	19	674393	Unreliable
	"Bernalillo County, NM"	"35001"	"#Tuberculosis (A16-A19)"	"GR113-004"	Suppressed	674393	Suppressed
	"Bernalillo County, NM"	"35001"	"Respiratory tuberculosis (A16)"	"GR113-005"	Suppressed	674393	Suppressed
	"Bernalillo County, NM"	"35001"	"Other tuberculosis (A17-A19)"	"GR113-006"	Suppressed	674393	Suppressed
	"Bernalillo County, NM"	"35001"	"#Whooping cough (A37)"	"GR113-007"	Suppressed	674393	Suppressed
	"Bernalillo County, NM"	"35001"	"#Scarlet fever and erysipelas (A38,A46)"	"GR113-008"	Suppressed	674393	Suppressed
	"Bernalillo County, NM"	"35001"	"#Meningococcal infection (A39)"	"GR113-009"	Suppressed	674393	Suppressed
	"Bernalillo County, NM"	"35001"	"#Septicemia (A40-A41)"	"GR113-010"	75	674393	11.1
	"Bernalillo County, NM"	"35001"	"#Syphilis (A50-A53)"	"GR113-011"	Suppressed	674393	Suppressed
	"Bernalillo County, NM"	"35001"	"#Acute poliomyelitis (A80)"	"GR113-012"	Suppressed	674393	Suppressed
	"Bernalillo County, NM"	"35001"	"#Arthropod-borne viral encephalitis (A83-A84,A85.2)"	"GR113-013"	Suppressed	674393	Suppressed
	"Bernalillo County, NM"	"35001"	"#Measles (B05)"	"GR113-014"	Suppressed	674393	Suppressed
	"Bernalillo County, NM"	"35001"	"#Viral hepatitis (B15-B19)"	"GR113-015"	20	674393	3.0
	"Bernalillo County, NM"	"35001"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	12	674393	Unreliable
	"Bernalillo County, NM"	"35001"	"#Malaria (B50-B54)"	"GR113-017"	Suppressed	674393	Suppressed
	"Bernalillo County, NM"	"35001"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	833	674393	123.5
	"Bernalillo County, NM"	"35001"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	1144	674393	169.6
	"Bernalillo County, NM"	"35001"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	24	674393	3.6
	"Bernalillo County, NM"	"35001"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	30	674393	4.4
	"Bernalillo County, NM"	"35001"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	29	674393	4.3
	"Bernalillo County, NM"	"35001"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	115	674393	17.1
	"Bernalillo County, NM"	"35001"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	80	674393	11.9
	"Bernalillo County, NM"	"35001"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	98	674393	14.5
	"Bernalillo County, NM"	"35001"	"Malignant neoplasm of larynx (C32)"	"GR113-026"	Suppressed	674393	Suppressed
	"Bernalillo County, NM"	"35001"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	179	674393	26.5
	"Bernalillo County, NM"	"35001"	"Malignant melanoma of skin (C43)"	"GR113-028"	Suppressed	674393	Suppressed
	"Bernalillo County, NM"	"35001"	"Malignant neoplasm of breast (C50)"	"GR113-029"	76	674393	11.3
	"Bernalillo County, NM"	"35001"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	Suppressed	674393	Suppressed
	"Bernalillo County, NM"	"35001"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	17	674393	Unreliable
	"Bernalillo County, NM"	"35001"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	20	674393	3.0
	"Bernalillo County, NM"	"35001"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	71	674393	10.5
	"Bernalillo County, NM"	"35001"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	31	674393	4.6
	"Bernalillo County, NM"	"35001"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	29	674393	4.3
	"Bernalillo County, NM"	"35001"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	30	674393	4.4
