"Notes"	"County"	"County Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Bristol County, RI"	"44001"	"#Salmonella infections (A01-A02)"	"GR113-001"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"#Shigellosis and amebiasis (A03,A06)"	"GR113-002"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"#Tuberculosis (A16-A19)"	"GR113-004"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Respiratory tuberculosis (A16)"	"GR113-005"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Other tuberculosis (A17-A19)"	"GR113-006"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"#Whooping cough (A37)"	"GR113-007"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"#Scarlet fever and erysipelas (A38,A46)"	"GR113-008"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"#Meningococcal infection (A39)"	"GR113-009"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"#Septicemia (A40-A41)"	"GR113-010"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"#Syphilis (A50-A53)"	"GR113-011"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"#Acute poliomyelitis (A80)"	"GR113-012"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"#Arthropod-borne viral encephalitis (A83-A84,A85.2)"	"GR113-013"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"#Measles (B05)"	"GR113-014"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"#Viral hepatitis (B15-B19)"	"GR113-015"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"#Malaria (B50-B54)"	"GR113-017"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	72	50818	141.7
	"Bristol County, RI"	"44001"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	101	50818	198.7
	"Bristol County, RI"	"44001"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Malignant neoplasm of larynx (C32)"	"GR113-026"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	15	50818	Unreliable
	"Bristol County, RI"	"44001"	"Malignant melanoma of skin (C43)"	"GR113-028"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Malignant neoplasm of breast (C50)"	"GR113-029"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	11	50818	Unreliable
	"Bristol County, RI"	"44001"	"Hodgkin disease (C81)"	"GR113-038"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Leukemia (C91-C95)"	"GR113-040"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue (C96)"	"GR113-042"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	13	50818	Unreliable
	"Bristol County, RI"	"44001"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"#Anemias (D50-D64)"	"GR113-045"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	10	50818	Unreliable
	"Bristol County, RI"	"44001"	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Malnutrition (E40-E46)"	"GR113-048"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Other nutritional deficiencies (E50-E64)"	"GR113-049"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"#Meningitis (G00,G03)"	"GR113-050"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"#Parkinson disease (G20-G21)"	"GR113-051"	10	50818	Unreliable
	"Bristol County, RI"	"44001"	"#Alzheimer disease (G30)"	"GR113-052"	23	50818	45.3
	"Bristol County, RI"	"44001"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	174	50818	342.4
	"Bristol County, RI"	"44001"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	126	50818	247.9
	"Bristol County, RI"	"44001"	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Hypertensive heart disease (I11)"	"GR113-056"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Hypertensive heart and renal disease (I13)"	"GR113-057"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	74	50818	145.6
	"Bristol County, RI"	"44001"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	12	50818	Unreliable
	"Bristol County, RI"	"44001"	"Other acute ischemic heart diseases (I24)"	"GR113-060"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	61	50818	120.0
	"Bristol County, RI"	"44001"	"Atherosclerotic cardiovascular disease, so described (I25.0)"	"GR113-062"	32	50818	63.0
	"Bristol County, RI"	"44001"	"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)"	"GR113-063"	29	50818	57.1
	"Bristol County, RI"	"44001"	"Other heart diseases (I26-I51)"	"GR113-064"	42	50818	82.6
	"Bristol County, RI"	"44001"	"Acute and subacute endocarditis (I33)"	"GR113-065"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Diseases of pericardium and acute myocarditis (I30-I31,I40)"	"GR113-066"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Heart failure (I50)"	"GR113-067"	19	50818	Unreliable
	"Bristol County, RI"	"44001"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	21	50818	41.3
	"Bristol County, RI"	"44001"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	20	50818	39.4
	"Bristol County, RI"	"44001"	"#Atherosclerosis (I70)"	"GR113-071"	18	50818	Unreliable
	"Bristol County, RI"	"44001"	"Other diseases of circulatory system (I71-I78)"	"GR113-072"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"#Aortic aneurysm and dissection (I71)"	"GR113-073"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Influenza (J09-J11)"	"GR113-077"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Pneumonia (J12-J18)"	"GR113-078"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Other acute lower respiratory infections (J20-J22,U04)"	"GR113-079"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"#Acute bronchitis and bronchiolitis (J20-J21)"	"GR113-080"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Other and unspecified acute lower respiratory infections (J22,U04)"	"GR113-081"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	10	50818	Unreliable
	"Bristol County, RI"	"44001"	"Bronchitis, chronic and unspecified (J40-J42)"	"GR113-083"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Emphysema (J43)"	"GR113-084"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Asthma (J45-J46)"	"GR113-085"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Other chronic lower respiratory diseases (J44,J47)"	"GR113-086"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"#Pneumoconioses and chemical effects (J60-J66,J68,U07.0)"	"GR113-087"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"#Peptic ulcer (K25-K28)"	"GR113-090"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"#Diseases of appendix (K35-K38)"	"GR113-091"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"#Hernia (K40-K46)"	"GR113-092"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"#Chronic liver disease and cirrhosis (K70,K73-K74)"	"GR113-093"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Alcoholic liver disease (K70)"	"GR113-094"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Other chronic liver disease and cirrhosis (K73-K74)"	"GR113-095"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	Suppressed	50818	Suppressed
	"Bristol County, RI"	"44001"	"Acute and rapidly progressive nephritic and nephrotic syndrome (N00-N01,N04)"	"GR113-098"	Suppressed	50818	Suppressed
